iter	MAE	RMSE
220	0.432907516	0.6154733172
221	0.4306619571	0.6122739179
222	0.427027235	0.6085247365
223	0.4245392895	0.6054193239
224	0.4208781867	0.6011464904
225	0.4175540307	0.5975340139
226	0.4137092899	0.5925800189
227	0.4111445761	0.5889915496
228	0.4068726482	0.5837380085
229	0.4046582613	0.5794984489
230	0.4014627459	0.5754318786
231	0.3977744616	0.5704873986
232	0.3961009794	0.5677753952
233	0.3939111057	0.5646876932
234	0.3908552993	0.5610864847
235	0.3892460449	0.5583582494
236	0.3860269199	0.5528178389
237	0.3840033393	0.5493154387
238	0.3811183178	0.5446720901
239	0.3793813816	0.5427035227
240	0.3761022693	0.5377132209
241	0.3736647356	0.5339122714
242	0.3714725762	0.530908256
243	0.3686710402	0.5275049614
244	0.3661925111	0.5245034545
245	0.3631143543	0.51955341
246	0.3612629748	0.5169005356
247	0.3586505088	0.5136030739
248	0.35577368	0.5098184717
249	0.3529159771	0.5059840274
250	0.3496597398	0.5019720257
251	0.3465354342	0.4983714067
252	0.3444636575	0.4957747584
253	0.3415761989	0.4908122192
254	0.3395404687	0.4870128342
255	0.3379611853	0.4847111954
256	0.3362617484	0.4813303286
257	0.3338658452	0.4789556483
258	0.3309351138	0.4741350733
259	0.3293194555	0.472497657
260	0.3280994288	0.4713485434
261	0.3263172823	0.4691691643
262	0.3238788795	0.4662547305
263	0.3225985782	0.4644615347
264	0.3201958398	0.4609628324
265	0.3183088651	0.4590605027
266	0.3167957069	0.4566938117
267	0.3146234028	0.4532586108
268	0.3129470629	0.4512599317
269	0.3110987069	0.4489375908
270	0.3095935414	0.446906689
271	0.3072620753	0.443169656
272	0.3060766136	0.4419439814
273	0.3031711931	0.4380337849
274	0.3007717738	0.4345193436
275	0.2997390084	0.4329596926
276	0.2974695459	0.4297291185
277	0.2955393609	0.4273925066
278	0.2935944766	0.4238984304
279	0.2913255827	0.4209404324
280	0.2900432274	0.4186361691
281	0.2871933861	0.4151943158
282	0.2848121163	0.4117854531
283	0.2827753177	0.4096714591
284	0.2808064273	0.4071441057
285	0.2802143911	0.4058685098
286	0.2786070557	0.4034910795
287	0.2760849973	0.3988927796
288	0.2734399377	0.3956166721
289	0.2717089361	0.3932443607
290	0.2695057522	0.3901585397
291	0.268000237	0.3881838712
292	0.2661658128	0.3857254158
293	0.2642927788	0.3832379779
294	0.2617234603	0.3803518885
295	0.2597019837	0.3770842828
296	0.2576604302	0.3743251053
297	0.2564328999	0.3730589452
298	0.2543167867	0.3703905762
